2000.5,5.37
2197.8,9.97
2404.5,20.20
2591.5,10.23
2797.1,7.16
2994.0,8.44
3191.3,12.28
3397.3,15.09
3595.2,26.34
3802.2,39.13
4000.3,53.20
4198.2,64.96
4404.8,73.91
4611.3,81.59
4799.8,87.98
4996.9,90.28
5202.8,91.56
5399.7,92.07
5596.7,92.58
5811.4,92.58
6008.3,92.33
6205.1,92.07
6393.0,91.30
6607.6,90.28
6804.4,89.00
7001.1,87.21
7206.7,84.91
7403.3,81.59
7599.9,78.77
7805.4,74.94
8001.8,70.59
8198.3,66.24
8394.6,60.10
8599.9,54.22
8805.2,48.08
8992.5,41.18
9206.4,31.20
9393.5,21.99
9590.0,18.16
9786.6,15.09
10000.9,9.97
