# JD,t_rest ,T, T_down, T_up, R, R_down, R_up,L,L_down,L_up, chi2/dof,Psudo_L_bol, Pseudo_L_bol_err,L_bol_w_extrap,L_bol_w_extrap_err
2.456577778666700236e+06,6.165573822533116477e+00,1.233389333114483452e+04,1.158715882614925431e+04,1.308062783614041473e+04,6.229426756373532500e+14,5.698013511562475000e+14,6.760840001184590000e+14,6.399094459670851054e+42,5.809043760950822464e+42,6.989145158390879645e+42,1.039449201529647127e+01,4.457662055102625290e+42,4.024963243222195996e+39,5.588012902618523067e+42,1.043056072342283967e+41
2.456578778666700236e+06,7.153857716964631130e+00,1.149420274038251046e+04,1.090377634109530118e+04,1.208462913966971973e+04,6.879026297993211250e+14,6.350594332628081250e+14,7.407458263358341250e+14,5.885602842387802998e+42,5.447124344080165149e+42,6.324081340695440846e+42,8.818468902989099689e+00,4.245893641970284071e+42,3.587814460445293066e+39,5.093807931390478668e+42,6.327157650151408912e+40
2.456579778666700236e+06,8.142141611396144896e+00,1.085366063143655447e+04,1.039209720071271113e+04,1.131522406216039781e+04,7.408576173870417500e+14,6.915597344054308750e+14,7.901555003686526250e+14,5.427452786120981691e+42,5.105287412458527658e+42,5.749618159783436343e+42,6.864668634656151625e+00,3.987801447106244755e+42,3.186465288812973907e+39,4.648418661693587484e+42,3.934248985576959619e+40
2.456580778666700236e+06,9.130425505827659549e+00,1.031589602284879584e+04,9.945195094971995786e+03,1.068659695072559589e+04,7.925541752099971250e+14,7.463864169382958750e+14,8.387219334816983750e+14,5.068825512114400608e+42,4.820715052675555460e+42,5.316935971553245755e+42,5.474084792714315917e+00,3.766780309458589065e+42,2.885432907417001026e+39,4.299667008208172500e+42,2.624301485403493296e+40
2.456581778667000122e+06,1.011870969663154973e+01,9.955512744596857374e+03,9.633630026430437283e+03,1.027739546276327746e+04,8.296087498797858750e+14,7.848290954381061250e+14,8.743884043214656250e+14,4.817511711647646572e+42,4.608266972237654989e+42,5.026756451057638154e+42,4.912394505012229295e+00,3.611714226138317893e+42,2.638936499495440101e+39,4.070973709106632798e+42,2.012136572662635364e+40
2.456582778667000122e+06,1.110699359106306261e+01,9.569851946726254027e+03,9.287079946806505177e+03,9.852623946646002878e+03,8.732646942856833750e+14,8.287477935056900000e+14,9.177815950656767500e+14,4.557579791702594989e+42,4.378294638061280799e+42,4.736864945343909179e+42,4.599831363810445772e+00,3.456648189320160672e+42,2.403799005095085722e+39,3.849383519225735507e+42,1.563523112238186077e+40
2.456587778667000122e+06,1.604841306322063588e+01,8.300166402865890632e+03,8.128112297065207713e+03,8.472220508666574460e+03,9.969991741452145000e+14,9.570765090571330000e+14,1.036921839233296000e+15,3.361695670537898047e+42,3.263764169512457415e+42,3.459627171563338679e+42,3.391747228416136295e+00,2.628012616923144854e+42,1.641124465525922231e+39,2.854877827459399052e+42,6.809654874251545439e+39
2.456592778667000122e+06,2.098983253537820914e+01,7.465556576993337330e+03,7.286294702672448693e+03,7.644818451314225968e+03,1.111690207021169250e+15,1.056316062836851250e+15,1.167064351205487250e+15,2.735507594422667019e+42,2.634735119143925897e+42,2.836280069701408142e+42,5.540455464862726664e+00,2.158811846516983916e+42,1.324619506908258814e+39,2.340921279664791587e+42,6.838192234102131553e+39
2.456597778667000122e+06,2.593125200753577886e+01,6.642265192629536614e+03,6.439045311564531403e+03,6.845485073694541825e+03,1.319701124921736250e+15,1.261577968439497250e+15,1.377824281403975250e+15,2.415670066105508943e+42,2.289426756781598179e+42,2.541913375429419707e+42,1.149558797677603295e+01,1.703756160491657882e+42,9.817089544308039579e+38,2.218381151919259933e+42,2.691229688167744801e+40
2.456602778667000122e+06,3.087267147969335213e+01,6.324783358418380885e+03,6.003417011642785837e+03,6.646149705193975933e+03,1.377170470864006250e+15,1.235436321581279750e+15,1.518904620146732750e+15,2.162617046501286376e+42,2.029204885248210518e+42,2.296029207754362233e+42,1.475152517801114627e+01,1.588658773558070024e+42,9.443208892304497875e+38,2.018064627658555744e+42,2.650693607282318505e+40
2.456607778667000122e+06,3.581409095185092184e+01,6.006032947529547528e+03,5.660571824990890491e+03,6.351494070068204564e+03,1.473813599502149250e+15,1.284192270391414750e+15,1.663434928612883750e+15,2.013991165177764931e+42,1.855530367689152912e+42,2.172451962666376951e+42,1.929755505808268978e+01,1.530423727690174687e+42,9.260118535637491981e+38,1.907066595371959732e+42,2.964872019636738924e+40
2.456612778667000122e+06,4.075551042400849866e+01,5.887178311673126700e+03,5.508864272313807305e+03,6.265492351032446095e+03,1.497652961427818250e+15,1.279451148947315250e+15,1.715854773908321250e+15,1.919874055695664321e+42,1.750194123594233842e+42,2.089553987797094800e+42,2.177509970457625599e+01,1.457218362558764882e+42,9.201829104967181092e+38,1.809721666035387525e+42,3.116809693717137053e+40
2.456617778667000122e+06,4.569692989616606837e+01,5.783603099218904390e+03,5.382508510614009538e+03,6.184697687823799242e+03,1.521083950549285250e+15,1.284207771737155500e+15,1.757960129361415000e+15,1.844683638165596871e+42,1.671258699246849417e+42,2.018108577084344325e+42,2.580264786556695356e+01,1.433183113415594179e+42,8.826980591449341111e+38,1.767223914331806930e+42,3.141670664923144955e+40
2.456622778667000122e+06,5.063834936832363809e+01,5.584322207310981867e+03,5.196401220803796605e+03,5.972243193818167128e+03,1.623304871359484500e+15,1.363328314978083250e+15,1.883281427740885750e+15,1.826012131408424206e+42,1.643902735537278831e+42,2.008121527279569581e+42,2.761418660027661076e+01,1.434556411732665295e+42,8.765370874698128896e+38,1.758643990393242248e+42,3.233335163814583909e+40
2.456627778667000122e+06,5.557976884048121491e+01,5.430724762021573042e+03,5.038034486079593080e+03,5.823415037963553004e+03,1.693889806386674250e+15,1.406388470480699750e+15,1.981391142292648750e+15,1.778373917043266782e+42,1.587051240325295717e+42,1.969696593761237847e+42,3.156910469465728042e+01,1.416090003854637654e+42,8.558845915115234947e+38,1.728972375535150182e+42,3.367168172692316457e+40
